-11819490,13407316
7292923,-6573208
-2218922,985630
-6131002,6546489
8742125,-8327412
-1657905,439582
6167780,-7617736
-435853,-964
-11312292,10014151
6900396,-7526881
464030,502580
8033413,-10142637
-2269866,2052398
4481583,-4456581
-5807789,5707522
3911492,-2928928
3944083,-3390992
-16490493,16497279
-9514538,8980905
9826933,-8726474
2216442,-4026726
6491289,-6082272
-3649986,2074683
14573190,-12572888
-810972,647365
-17809025,18186199
6459889,-6809794
2335173,-4243701
-7465668,8677863
5720519,-5666548
-11601396,14874636
13299193,-12155123
9620761,-9522077
1322997,-1725836
4069966,-3951640
5658566,-5670935
6783239,-6334864
-8380012,8876145
11151277,-10982267
5469939,-2524721
-10509178,9636407
-11270104,11142219
-11715849,12238760
4723457,-4042047
5658677,-6002744
-7478136,4644634
-16448002,18117482
7702213,-6473750
-11101006,9843065
-402223,242154
10879033,-9969013
-6626810,8401595
8655382,-8159878
-9150551,9537885
-12004418,11286516
4088624,-4327507
-9414991,7117558
-7693786,9025802
-7765632,9236786
-1662762,379139
1627020,-3091121
-13195535,14040253
-5235724,4535713
-2060390,527155
-5783634,4968145
8111571,-6308216
1783457,-1114993
7876547,-6988741
2970183,-3597924
-10267592,9796229
7514085,-6759727
16618704,-15851920
737646,-1372310
6052297,-5834421
-12276748,9227200
-10887219,10273935
-10506545,11967225
-3687329,4086884
-12956276,13670823
7574250,-6560488
-3306401,3127348
-11840347,11698852
4938699,-2266547
7574251,-8092841
7021427,-6281879
-4857376,7659789
-2474944,3940846
-8439734,6934616
1098343,19615
-4830429,5701473
7513163,-6348697
-9635674,6034864
-9571893,8850263
11964,-631167
-9631504,7613720
-6351277,4224507
-12222359,11199959
-12709734,13761920
8887594,-9106527
-307020,-566936
10683834,-7979481
-8048512,7688637
-2194171,3715948
7208432,-8507536
-9275033,9236479
-5866081,4999962
3906420,-3219916
-12355109,12218908
5456537,-3713884
439459,-952063
1598708,-2102285
-369813,1470542
-5963865,4315558
1116207,-441748
-3351019,2640931
2090523,-2547201
6207072,-4131967
-9009571,8749566
-11034829,11313425
7775253,-6715210
4238225,-6156279
2905693,-2763123
-6818434,6838034
1319222,-809475
4270985,-3860920
7493837,-8233279
-259324,-781069
-9637191,10184327
-11780731,13822113
5195681,-6588549
-17955340,18475447
2008201,-2695059
4494083,-4126111
6034225,-3502525
8121504,-8273107
7809024,-6624522
-15501091,15049532
1352855,-3901897
-1857881,4143553
3599680,-2129050
5626940,-5918811
-11028922,13177694
6889053,-7783632
4479203,-3909308
2599059,-2301802
-10603031,11439797
6234260,-3886727
-1076414,2162835
1341694,-2342727
-7766681,8162593
7958956,-7748080
-13274303,13726198
4394521,-4878714
-15103465,15739271
-13064945,11953884
5703390,-5257696
-14113201,15578867
-3472240,3825669
5132227,-7365620
3945122,-5817257
8499390,-7604562
374683,-1192052
4747492,-4537534
2669432,-3564508
-10944958,12364323
6653862,-7181744
-5099387,3325155
6793081,-6782540
9660422,-7096662
-9397268,10594060
-9225780,9563302
-10055251,9836140
-13371878,12592125
137604,60946
1959471,-2116100
9948635,-9511584
2499053,-3767603
17239102,-15263381
-9656978,9280048
-8382690,7926215
13011868,-11754751
-11601340,11245300
11144843,-10655983
-9944306,10704737
-8398880,6769997
8979011,-8040818
-15814540,15543791
3101578,-3781987
7052406,-8650079
-4852942,5930335
4203126,-4457777
4396044,-4377933
-13552397,13209550
-11094889,9677326
-19489574,19622634
14134239,-11659317
3349144,-4545321
-2486509,1026134
15636019,-12779737
-1148275,392096
-4206476,3037348
-2348929,2143667
10039680,-9286490
7835886,-7379676
8975283,-8342019
-17310041,16691178
-7649571,6010471
8567387,-5511965
4315747,-4293637
1083263,-3535051
10996298,-10447977
-13304778,15177720
3543052,-4804301
12556700,-10661689
-14188370,14744879
4400449,-4073312
-6498797,7065453
5681054,-4038794
3778197,-6131174
175659,-12113
4118587,-3785697
4762424,-2787017
-8331771,7006889
-6343960,3636611
8612559,-7612562
-5817391,5508640
-1364259,622344
-11157149,12246299
9987585,-9547580
-2026158,2687553
8928605,-6638325
-6570546,5507414
-12520102,12227244
8264858,-7077623
8726612,-8959788
-11126286,10494594
2628074,-769150
1931111,-3575187
-1234952,-184206
258454,244446
6284425,-5057641
369653,-3104512
8083037,-5956612
5393373,-5979265
-17153947,15899602
-5045271,5053157
9070855,-8218333
3876968,-3961051
-2950763,2057618
11556774,-10253322
-9275836,7388791
-5158295,4661026
6345592,-7871971
8085801,-7882781
-946882,1022695
8355271,-9213199
2824316,-3043459
9467582,-8768133
7277667,-6047524
-18997530,19230878
13569928,-12155618
-6701535,4424049
-3650992,982746
1232710,-1007916
-58256,-608966
5664290,-3768253
9063528,-8060390
-12949348,13847607
-525633,597952
-7873560,8700862
4719476,-3357890
14317434,-12765038
-5217900,4975408
-10393727,9562699
-5044009,3188988
10607280,-10235485
-8948327,11266587
-3648323,3557902
6450837,-6600442
13077893,-12350375
-2304494,2157118
-7637953,7306910
13476290,-10881090
2398383,-845389
-4832877,4301421
6616717,-7457903
2624288,-941794
4707337,-6160887
-8813440,7733440
-12419800,13120505
1129342,24688
-1417311,2625150
7746101,-6470524
6463534,-8165293
11028706,-9733715
-5642786,6117558
606592,-2253914
6799009,-5233251
4287120,-3925470
-2121659,1036718
-16353674,16060514
-9422820,8756705
14761731,-12384022
-7920174,7888634
-3131372,354090
-588998,-1577191
-2687376,4039925
13930529,-11271062
-2240415,1536788
-7558349,9103469
7373065,-8509477
-166295,-780748
-6371899,6728968
10779710,-7627870
9135529,-7601389
10325337,-9564873
6978911,-7257223
-5838664,5642626
-12430774,11340146
-13940205,14543933
7241911,-7544118
-6032233,7291711
9241653,-9502524
-1879579,904707
-5083716,3348787
4399831,-3977980
10213846,-9338479
-10610451,10882845
-5545722,5227194
4908336,-4231122
9823552,-8439477
12679986,-10528824
4568563,-5818253
-7973592,8286127
5684675,-8427926
533549,-636330
956223,-205221
-990423,1704755
-2218005,1061039
11106202,-9845622
-8707184,8748024
-17243215,16741684
-12739665,12772308
-10354539,11380739
-11367887,10984694
-771077,1148148
-4752969,4059533
12497333,-10879361
-1925582,-51062
826614,-2576136
-6443010,8306933
-4269481,3530136
2307242,-3756595
15769752,-15235432
4246096,-3876685
8150672,-6704850
1931729,-2455810
12645988,-10880389
-8514094,10157636
6798093,-6657361
-7227483,7332604
276824,78762
5530845,-4695703
-16294023,15555369
-5448789,4579221
-2127362,1884544
6733072,-5879124
-11916046,10497531
